target,window,test_loss,test_loss_std,top1,top5,n_seeds
ViT-L-14__block20__fov,600_700,5.3166,0.0021,0.007,0.027,5
ViT-L-14__block20__fov,700_800,5.3161,0.0045,0.005,0.029,5
ViT-L-14__block20__fov,800_900,5.3212,0.0026,0.006,0.026,5
ViT-L-14__block20__fov,900_1000,5.3253,0.0067,0.009,0.026,5
ViT-L-14__block24,0_100,4.8987,0.0333,0.034,0.103,5
ViT-L-14__block24,100_200,4.2679,0.0252,0.056,0.239,5
ViT-L-14__block24,200_300,4.2052,0.0207,0.08,0.256,5
ViT-L-14__block24,300_400,4.5141,0.0064,0.044,0.195,5
ViT-L-14__block24,400_500,5.2644,0.0088,0.011,0.039,5
ViT-L-14__block24,500_600,5.298,0.0084,0.006,0.028,5
ViT-L-14__block24,600_700,5.3171,0.0074,0.005,0.029,5
ViT-L-14__block24,700_800,5.3212,0.0103,0.006,0.027,5
ViT-L-14__block24,800_900,5.3296,0.0073,0.003,0.024,5
ViT-L-14__block24,900_1000,5.3319,0.0084,0.005,0.022,5
ViT-L-14__block24__fov,0_100,4.8941,0.0414,0.034,0.106,5
ViT-L-14__block24__fov,100_200,4.2061,0.0117,0.062,0.238,5
ViT-L-14__block24__fov,200_300,4.1648,0.0077,0.087,0.256,5
ViT-L-14__block24__fov,300_400,4.526,0.0144,0.057,0.167,5
ViT-L-14__block24__fov,400_500,5.2579,0.0046,0.005,0.037,5
ViT-L-14__block24__fov,500_600,5.2942,0.0079,0.009,0.033,5
ViT-L-14__block24__fov,600_700,5.3188,0.0042,0.006,0.025,5
ViT-L-14__block24__fov,700_800,5.3275,0.0063,0.007,0.027,5
ViT-L-14__block24__fov,800_900,5.329,0.0044,0.004,0.025,5
ViT-L-14__block24__fov,900_1000,5.3332,0.0054,0.005,0.029,5
ViT-L-14__block4,0_100,3.7302,0.0402,0.097,0.352,5
ViT-L-14__block4,100_200,3.2694,0.0086,0.194,0.512,5
ViT-L-14__block4,200_300,3.6283,0.0567,0.164,0.427,5
ViT-L-14__block4,300_400,4.5733,0.0292,0.045,0.174,5
ViT-L-14__block4,400_500,5.2449,0.0045,0.015,0.057,5
ViT-L-14__block4,500_600,5.2834,0.0026,0.008,0.032,5
ViT-L-14__block4,600_700,5.2974,0.0019,0.006,0.027,5
ViT-L-14__block4,700_800,5.299,0.0022,0.004,0.021,5
ViT-L-14__block4,800_900,5.3029,0.0013,0.004,0.022,5
ViT-L-14__block4,900_1000,5.3047,0.0023,0.003,0.032,5
ViT-L-14__block4__fov,0_100,3.6629,0.0368,0.11,0.355,5
ViT-L-14__block4__fov,100_200,3.1736,0.0291,0.211,0.54,5
ViT-L-14__block4__fov,200_300,3.5199,0.0501,0.18,0.459,5
ViT-L-14__block4__fov,300_400,4.5356,0.023,0.052,0.199,5
ViT-L-14__block4__fov,400_500,5.2417,0.006,0.013,0.055,5
ViT-L-14__block4__fov,500_600,5.2843,0.0032,0.006,0.035,5
ViT-L-14__block4__fov,600_700,5.2966,0.0011,0.005,0.028,5
ViT-L-14__block4__fov,700_800,5.2978,0.0015,0.007,0.024,5
ViT-L-14__block4__fov,800_900,5.3019,0.0017,0.002,0.028,5
ViT-L-14__block4__fov,900_1000,5.3028,0.0021,0.002,0.026,5
ViT-L-14__block8,0_100,3.7722,0.0651,0.131,0.344,5
ViT-L-14__block8,100_200,2.9531,0.0489,0.271,0.607,5
ViT-L-14__block8,200_300,3.3725,0.0235,0.181,0.471,5
ViT-L-14__block8,300_400,4.3383,0.022,0.082,0.237,5
ViT-L-14__block8,400_500,5.2362,0.0041,0.012,0.043,5
ViT-L-14__block8,500_600,5.279,0.0026,0.004,0.038,5
ViT-L-14__block8,600_700,5.2971,0.0029,0.006,0.025,5
ViT-L-14__block8,700_800,5.297,0.0017,0.003,0.032,5
ViT-L-14__block8,800_900,5.3007,0.0004,0.004,0.029,5
ViT-L-14__block8,900_1000,5.3029,0.0037,0.005,0.032,5
ViT-L-14__block8__fov,0_100,3.7346,0.0709,0.147,0.362,5
ViT-L-14__block8__fov,100_200,2.8982,0.0544,0.266,0.616,5
ViT-L-14__block8__fov,200_300,3.3384,0.0226,0.179,0.514,5
ViT-L-14__block8__fov,300_400,4.3353,0.0237,0.085,0.233,5
ViT-L-14__block8__fov,400_500,5.2333,0.0022,0.01,0.047,5
ViT-L-14__block8__fov,500_600,5.2771,0.0024,0.008,0.035,5
ViT-L-14__block8__fov,600_700,5.2956,0.0007,0.006,0.028,5
ViT-L-14__block8__fov,700_800,5.2965,0.0013,0.006,0.027,5
ViT-L-14__block8__fov,800_900,5.3004,0.0018,0.005,0.026,5
ViT-L-14__block8__fov,900_1000,5.3019,0.0013,0.007,0.026,5
